20:40:03 loading abstraction from abstraction/
20:40:03   loaded_streets=('flop', 'turn', 'river'), lru_max=2000000
20:40:03 warming preflop-tier cache (~6s)...
20:40:05 config: DeepCFRConfig(advantage_hidden=(256, 256, 256), policy_hidden=(256, 256, 256), activation='relu', layer_norm=True, learning_rate=0.001, optimizer='adam', grad_clip=1.0, batch_size=256, outer_iters=250, traversals_per_iter=400, train_steps_per_iter=200, policy_train_steps=40000, advantage_buffer_size=500000, policy_buffer_size=3000000, cfr_weighting='linear', num_players_train=(6, 8, 9), seat_randomization=True, seed=2026, checkpoint_every=25, lbr_every=25)
20:40:05 training at table_size=9
20:40:05 training -> training/pilot-v2-9max/
21:06:34 [iter 44/250] 19.6s trav + 2.9s train (adv_buf=103350, policy_buf=724820, wall=25.5min, eta=119.6min)
21:07:01 [iter 45/250] 22.8s trav + 3.5s train (adv_buf=104899, policy_buf=736539, wall=26.0min, eta=118.3min)
21:07:32 [iter 46/250] 28.5s trav + 3.4s train (adv_buf=106934, policy_buf=750764, wall=26.5min, eta=117.6min)
21:07:56 [iter 47/250] 20.2s trav + 2.9s train (adv_buf=108532, policy_buf=764192, wall=26.9min, eta=116.2min)
21:08:27 [iter 48/250] 27.6s trav + 3.5s train (adv_buf=110232, policy_buf=778352, wall=27.4min, eta=115.4min)
21:08:58 [iter 49/250] 27.8s trav + 3.4s train (adv_buf=112152, policy_buf=791814, wall=27.9min, eta=114.6min)
21:09:32 [iter 50/250] 31.3s trav + 3.3s train (adv_buf=114904, policy_buf=807908, wall=28.5min, eta=114.0min)
21:09:36 [iter 50] checkpoint -> iter_0050.pt
21:09:37   policy_reservoir unique-key by street: preflop=367319 flop=85159 turn=75096 river=91201 (total unique=618775 / size=807908 / capacity=3000000)
21:10:10 [iter 51/250] 30.2s trav + 3.2s train (adv_buf=117346, policy_buf=824187, wall=29.1min, eta=113.7min)
21:10:39 [iter 52/250] 26.1s trav + 3.0s train (adv_buf=119757, policy_buf=840499, wall=29.6min, eta=112.8min)
21:11:05 [iter 53/250] 22.2s trav + 3.5s train (adv_buf=121429, policy_buf=852728, wall=30.0min, eta=111.7min)
21:11:34 [iter 54/250] 25.8s trav + 3.8s train (adv_buf=123255, policy_buf=865874, wall=30.5min, eta=110.8min)
21:12:06 [iter 55/250] 28.4s trav + 3.4s train (adv_buf=125043, policy_buf=879814, wall=31.1min, eta=110.2min)
21:12:32 [iter 56/250] 22.8s trav + 2.9s train (adv_buf=127334, policy_buf=894500, wall=31.5min, eta=109.1min)
21:13:01 [iter 57/250] 26.0s trav + 3.5s train (adv_buf=129308, policy_buf=908278, wall=32.0min, eta=108.3min)
21:13:27 [iter 58/250] 22.5s trav + 3.6s train (adv_buf=130837, policy_buf=919775, wall=32.4min, eta=107.3min)
21:13:51 [iter 59/250] 20.3s trav + 3.5s train (adv_buf=131789, policy_buf=929958, wall=32.8min, eta=106.3min)
21:14:15 [iter 60/250] 20.6s trav + 3.5s train (adv_buf=132900, policy_buf=940302, wall=33.2min, eta=105.2min)
21:14:40 [iter 61/250] 20.5s trav + 4.0s train (adv_buf=133973, policy_buf=950809, wall=33.6min, eta=104.2min)
21:15:07 [iter 62/250] 23.8s trav + 3.6s train (adv_buf=135552, policy_buf=962343, wall=34.1min, eta=103.4min)
21:15:35 [iter 63/250] 24.2s trav + 3.6s train (adv_buf=137162, policy_buf=974675, wall=34.6min, eta=102.6min)
21:16:00 [iter 64/250] 20.3s trav + 4.2s train (adv_buf=138397, policy_buf=984813, wall=35.0min, eta=101.6min)
21:16:26 [iter 65/250] 22.9s trav + 3.7s train (adv_buf=139680, policy_buf=996410, wall=35.4min, eta=100.8min)
21:16:51 [iter 66/250] 21.5s trav + 3.6s train (adv_buf=140738, policy_buf=1007206, wall=35.8min, eta=99.9min)
21:17:18 [iter 67/250] 23.4s trav + 3.6s train (adv_buf=142066, policy_buf=1018972, wall=36.3min, eta=99.1min)
21:17:48 [iter 68/250] 26.2s trav + 3.7s train (adv_buf=143204, policy_buf=1030443, wall=36.8min, eta=98.4min)
21:20:48 [iter 69/250] 25.1s trav + 3.7s train (adv_buf=144445, policy_buf=1041816, wall=37.2min, eta=97.7min)
21:21:09 [iter 70/250] 18.1s trav + 3.5s train (adv_buf=145609, policy_buf=1051534, wall=37.6min, eta=96.7min)
21:23:09 [iter 71/250] 26.5s trav + 3.8s train (adv_buf=146813, policy_buf=1063230, wall=38.1min, eta=96.1min)
21:23:33 [iter 72/250] 20.7s trav + 3.3s train (adv_buf=148150, policy_buf=1074693, wall=38.5min, eta=95.2min)
21:27:05 [iter 73/250] 21.3s trav + 3.4s train (adv_buf=149407, policy_buf=1085822, wall=38.9min, eta=94.4min)
21:27:30 [iter 74/250] 22.0s trav + 3.5s train (adv_buf=150657, policy_buf=1097554, wall=39.4min, eta=93.6min)
21:27:55 [iter 75/250] 21.5s trav + 3.7s train (adv_buf=152052, policy_buf=1108756, wall=39.8min, eta=92.8min)
21:28:04 [iter 75] checkpoint -> iter_0075.pt
21:28:04   policy_reservoir unique-key by street: preflop=515205 flop=104102 turn=84367 river=97834 (total unique=801508 / size=1108756 / capacity=3000000)
21:31:30 [iter 76/250] 20.5s trav + 3.6s train (adv_buf=153474, policy_buf=1119006, wall=40.3min, eta=92.3min)
21:31:55 [iter 77/250] 21.9s trav + 3.6s train (adv_buf=154963, policy_buf=1131742, wall=40.7min, eta=91.5min)
21:32:38 [iter 78/250] 18.4s trav + 3.7s train (adv_buf=155958, policy_buf=1141493, wall=41.1min, eta=90.7min)
21:32:58 [iter 79/250] 16.4s trav + 3.5s train (adv_buf=156810, policy_buf=1150487, wall=41.4min, eta=89.7min)
21:33:18 [iter 80/250] 16.9s trav + 3.7s train (adv_buf=157761, policy_buf=1159723, wall=41.8min, eta=88.8min)
21:34:16 [iter 81/250] 24.5s trav + 3.5s train (adv_buf=159147, policy_buf=1171279, wall=42.3min, eta=88.2min)
21:39:17 [iter 82/250] 30.5s trav + 3.8s train (adv_buf=161517, policy_buf=1184690, wall=42.8min, eta=87.7min)
21:39:39 [iter 83/250] 18.9s trav + 3.2s train (adv_buf=163054, policy_buf=1196561, wall=43.2min, eta=86.9min)
21:40:00 [iter 84/250] 16.5s trav + 3.9s train (adv_buf=164035, policy_buf=1205502, wall=43.5min, eta=86.0min)
21:40:30 [iter 85/250] 25.8s trav + 4.1s train (adv_buf=165752, policy_buf=1218079, wall=44.0min, eta=85.5min)
21:40:59 [iter 86/250] 26.1s trav + 3.4s train (adv_buf=167138, policy_buf=1230862, wall=44.5min, eta=84.9min)
21:41:23 [iter 87/250] 19.9s trav + 3.6s train (adv_buf=168227, policy_buf=1240933, wall=44.9min, eta=84.2min)
21:41:47 [iter 88/250] 21.1s trav + 3.4s train (adv_buf=169414, policy_buf=1252323, wall=45.3min, eta=83.4min)
21:42:10 [iter 89/250] 19.0s trav + 3.5s train (adv_buf=170712, policy_buf=1262634, wall=45.7min, eta=82.7min)
21:42:34 [iter 90/250] 20.2s trav + 3.5s train (adv_buf=171791, policy_buf=1272989, wall=46.1min, eta=82.0min)
21:42:57 [iter 91/250] 20.1s trav + 3.5s train (adv_buf=173165, policy_buf=1283787, wall=46.5min, eta=81.2min)
21:43:15 [iter 92/250] 14.7s trav + 3.4s train (adv_buf=174180, policy_buf=1292839, wall=46.8min, eta=80.4min)
21:43:41 [iter 93/250] 22.1s trav + 3.5s train (adv_buf=175683, policy_buf=1304240, wall=47.2min, eta=79.7min)
21:44:08 [iter 94/250] 23.3s trav + 3.8s train (adv_buf=177043, policy_buf=1316274, wall=47.7min, eta=79.1min)
21:44:34 [iter 95/250] 22.2s trav + 3.6s train (adv_buf=178071, policy_buf=1326680, wall=48.1min, eta=78.5min)
21:45:08 [iter 96/250] 30.9s trav + 3.2s train (adv_buf=180050, policy_buf=1340725, wall=48.7min, eta=78.1min)
21:45:30 [iter 97/250] 18.9s trav + 3.1s train (adv_buf=181581, policy_buf=1352107, wall=49.0min, eta=77.3min)
21:46:02 [iter 98/250] 28.8s trav + 3.5s train (adv_buf=183244, policy_buf=1365959, wall=49.6min, eta=76.9min)
21:46:29 [iter 99/250] 23.4s trav + 3.4s train (adv_buf=185205, policy_buf=1378259, wall=50.0min, eta=76.3min)
21:46:53 [iter 100/250] 19.7s trav + 4.0s train (adv_buf=186395, policy_buf=1388986, wall=50.4min, eta=75.6min)
21:47:03 [iter 100] checkpoint -> iter_0100.pt
21:47:03   policy_reservoir unique-key by street: preflop=638395 flop=119090 turn=92745 river=102937 (total unique=953167 / size=1388986 / capacity=3000000)
21:47:32 [iter 101/250] 25.3s trav + 3.1s train (adv_buf=187934, policy_buf=1401532, wall=51.1min, eta=75.3min)
21:47:50 [iter 102/250] 15.5s trav + 2.9s train (adv_buf=188977, policy_buf=1412042, wall=51.4min, eta=74.5min)
21:48:12 [iter 103/250] 18.6s trav + 3.0s train (adv_buf=190593, policy_buf=1424379, wall=51.7min, eta=73.8min)
21:48:32 [iter 104/250] 17.3s trav + 3.1s train (adv_buf=191856, policy_buf=1435330, wall=52.1min, eta=73.1min)
21:48:51 [iter 105/250] 16.1s trav + 2.9s train (adv_buf=193190, policy_buf=1445742, wall=52.4min, eta=72.4min)
21:49:13 [iter 106/250] 18.3s trav + 3.5s train (adv_buf=194685, policy_buf=1457011, wall=52.8min, eta=71.7min)
21:49:44 [iter 107/250] 26.9s trav + 3.6s train (adv_buf=196727, policy_buf=1470353, wall=53.3min, eta=71.2min)
21:50:07 [iter 108/250] 20.4s trav + 3.5s train (adv_buf=198189, policy_buf=1481482, wall=53.7min, eta=70.6min)
21:50:32 [iter 109/250] 20.7s trav + 3.8s train (adv_buf=199275, policy_buf=1492325, wall=54.1min, eta=69.9min)
21:50:59 [iter 110/250] 23.3s trav + 3.9s train (adv_buf=200625, policy_buf=1504208, wall=54.5min, eta=69.4min)
21:51:22 [iter 111/250] 19.3s trav + 3.5s train (adv_buf=201894, policy_buf=1514655, wall=54.9min, eta=68.8min)
21:51:42 [iter 112/250] 17.0s trav + 3.4s train (adv_buf=203076, policy_buf=1524455, wall=55.2min, eta=68.1min)
